RedChoice,Self,Others,Group,SubjectPair,RT,Trial,Other1,Other2,Other3,Other4,Other1rt,Other2rt,Other3rt,Other4rt,Other1confidence,Other2confidence,Other3confidence,Other4confidence,OptimalChoice,OthersConfidenceRed,OthersConfidenceGreen,Subject,RTscaled
0,0.375,3898.5,1,101,1700,17,0,1,1,0,296,2263,2391,597,0.5,1,1,0.5,0,1,0.5,101,-0.852521833275065
0,0.125,3898.5,1,101,1597,1,0,0,0,0,635,513,436,309,0.5,0.5,0.5,0.5,1,1,0.5,101,-0.8614572751413405
1,0.75,3898.5,1,101,2013,97,1,1,1,0,731,285,173,193,0.5,0.5,0.5,0.5,1,0.5,0.5,101,0.8053453162485895
0,0.375,3898.5,1,101,1657,87,0,1,0,1,614,334,551,715,0.5,0.5,0.5,0.5,0,0.5,0.5,101,-0.8562521633745781
1,0.625,3898.5,1,101,1960,89,1,0,1,0,680,33,521,68,0.5,0.5,0.5,0.5,0,0.5,0.5,101,0.8104703526315129
0,0.5,3898.5,1,101,3330,81,0,0,1,0,259,79,617,414,0.5,0.5,0.5,0.5,1,0.5,0.5,101,-0.7111162969446861
1,0.875,3898.5,1,101,1401,63,1,1,1,0,79,508,343,2146,0.5,0.5,0.5,1,1,0.5,1,101,0.8645249816514027
1,0.875,3898.5,1,101,1476,21,0,1,0,1,611,2237,112,1801,0.5,1,0.5,1,0,1,0.5,101,0.8572725716755678
0,0.25,3898.5,1,101,1574,9,0,0,1,0,251,490,2474,437,0.5,0.5,1,0.5,0,1,0.5,101,-0.863452567985266
1,0.875,3898.5,1,101,1309,35,1,1,1,1,1931,2073,2377,1858,1,1,1,1,0,1,1,101,0.8734212712217602
1,0.75,3898.5,1,101,1588,13,1,0,0,0,1734,720,579,56,1,0.5,0.5,0.5,0,1,0.5,101,0.8464423061116542
0,0.125,3898.5,1,101,1401,15,0,1,1,0,728,1959,1733,129,0.5,1,1,0.5,1,1,0.5,101,-0.8784606402460977
0,0.125,3898.5,1,101,1721,99,1,1,1,1,540,743,226,272,0.5,0.5,0.5,0.5,0,0.5,1,101,-0.8507000441566981
0,0.25,3898.5,1,101,1732,51,1,0,0,1,144,2345,1709,404,0.5,1,1,0.5,0,0.5,1,101,-0.849745773666125
1,0.625,3898.5,1,101,2140,61,1,1,1,0,84,795,437,2157,0.5,0.5,0.5,1,1,0.5,1,101,0.7930645686895088
1,0.625,3898.5,1,101,1590,47,1,0,0,0,280,2332,2437,1796,0.5,1,1,1,0,0.5,1,101,0.8462489085122986
0,0.875,3898.5,1,101,1667,7,0,0,0,0,792,458,677,74,0.5,0.5,0.5,0.5,1,1,0.5,101,-0.8553846447467843
0,0.5,3898.5,1,101,3080,39,0,0,0,0,2422,1789,1984,2208,1,1,1,1,1,1,1,101,-0.7328042626395295
1,0.625,3898.5,1,101,2264,103,1,1,1,1,462,268,637,11,0.5,0.5,0.5,0.5,1,0.5,1,101,0.7810739175294616
0,0.5,3898.5,1,101,4256,53,1,0,0,1,313,2439,2248,368,0.5,1,1,0.5,0,0.5,1,101,-0.6307840720109863
1,0.75,3898.5,1,101,1425,41,0,0,0,0,2493,1855,2401,2418,1,1,1,1,0,1,1,101,0.8622042104591356
1,0.625,3898.5,1,101,1847,5,0,0,0,0,670,773,251,754,0.5,0.5,0.5,0.5,0,1,0.5,101,0.8213973169951041
