ID,BotStrategyN,Role,player.tom_role,Choice,BotChoice,Payoff,BotPayoff,BotParameters,Trial,BotStrategy
Stockholm,1,0,1,1,0,-1,1,"{'opponent_states': {0: {'opponent_states': {}, 'own_states': {'p_op_mean0': 0.6666666652323496, 'p_op_var0': 0.28768207245178085}}}, 'own_states': {'p_k': array([1.]), 'p_op_mean': array([0.13468267]), 'param_mean': array([[ 0. ,  0. , -0.4]]), 'param_var': array([[ 0.12692801,  0.        , -0.22314355]]), 'gradient': array([[ 0.14210958, -0.53465593,  1.        ]]), 'p_self': 0.4233163202031606}}",2,1
Vienna,0,1,0,1,0,1,-1,"{'opponent_states': {}, 'own_states': {'p_op_mean0': -0.4421659807091178, 'p_op_var0': -0.12292276280308079, 'p_self': 0.2622995947859569}}",2,0
Budapest,1,0,1,0,0,1,-1,"{'opponent_states': {0: {'opponent_states': {}, 'own_states': {'p_op_mean0': 0.6666666652323496, 'p_op_var0': 0.28768207245178085}}}, 'own_states': {'p_k': array([1.]), 'p_op_mean': array([0.13468267]), 'param_mean': array([[ 0. ,  0. , -0.4]]), 'param_var': array([[ 0.12692801,  0.        , -0.22314355]]), 'gradient': array([[ 0.14210958, -0.53465593,  1.        ]]), 'p_self': 0.4233163202031606}}",2,1
London,-2,1,0,1,0,1,-1,WSLS,2,-2
Berlin,-1,1,0,1,1,-1,1,Random Bias 0.6 Head,2,-1
Oxford,-2,1,0,1,1,-1,1,WSLS,3,-2
Hamburg,-1,0,1,1,0,-1,1,Random Bias 0.6 Head,3,-1
Paris,-2,0,1,1,1,1,-1,WSLS,3,-2
Florence,2,1,0,1,0,1,-1,"{'opponent_states': {0: {'opponent_states': {}, 'own_states': {'p_op_mean0': -1.1917636420902133, 'p_op_var0': 0.4368644416916818}}, 1: {'opponent_states': {0: {'opponent_states': {}, 'own_states': {'p_op_mean0': 0.38089128046739457, 'p_op_var0': 0.46083177794476293}}}, 'own_states': {'p_k': array([1.]), 'p_op_mean': array([-0.24634674]), 'param_mean': array([[ 0.11874068, -0.14251192, -0.59413589]]), 'param_var': array([[ 1.08627796, -0.05626326, -0.37326238]]), 'gradient': array([[ 0.25965835, -0.34777176,  1.        ]])}}}, 'own_states': {'p_k': array([0.47619522, 0.52380478]), 'p_op_mean': array([0.92587035, 0.17473211]), 'param_mean': array([[ 0.03622345, -0.10411437, -0.06012026],        [-0.00043281, -0.13637633, -0.06639485]]), 'param_var': array([[ 0.23656762, -0.03267398, -0.21607036],        [ 0.23954429, -0.0664871 , -0.22093343]]), 'gradient': array([[ 0.06359653, -0.98594131,  1.        ],        [-0.01242018, -0.2411149 ,  1.        ]]), 'p_self': 0.7533529201734653}}",3,2
Milan,-2,0,1,0,0,1,-1,WSLS,3,-2
Dublin,2,1,0,1,1,-1,1,"{'opponent_states': {0: {'opponent_states': {}, 'own_states': {'p_op_mean0': -1.191238398261703, 'p_op_var0': 0.43586366141443905}}, 1: {'opponent_states': {0: {'opponent_states': {}, 'own_states': {'p_op_mean0': 1.1561394307230257, 'p_op_var0': 0.36661030150878055}}}, 'own_states': {'p_k': array([1.]), 'p_op_mean': array([-0.08582757]), 'param_mean': array([[-0.22412384,  0.26635428, -0.75601484]]), 'param_var': array([[ 1.08367186, -0.06872457, -0.40471129]]), 'gradient': array([[ 0.03720035, -0.67015376,  1.        ]])}}}, 'own_states': {'p_k': array([0.56921981, 0.43078019]), 'p_op_mean': array([1.34349292, 0.45854459]), 'param_mean': array([[ 3.27177876e-02, -9.38608264e-02,  3.67780990e-01],        [ 7.58113739e-05,  2.30827590e-02,  3.87505308e-01]]), 'param_var': array([[ 0.23637491, -0.03475585, -0.2221209 ],        [ 0.23954475, -0.0013818 , -0.20894509]]), 'gradient': array([[ 0.06281595, -0.97566315,  1.        ],        [ 0.00228711, -0.07103573,  1.        ]]), 'p_self': 0.8767620586529954}}",3,2
Cannes,-1,1,0,1,1,-1,1,Random Bias 0.6 Head,3,-1
Madrid,1,0,1,0,0,1,-1,"{'opponent_states': {0: {'opponent_states': {}, 'own_states': {'p_op_mean0': 1.199001153738585, 'p_op_var0': 0.4505535078679657}}}, 'own_states': {'p_k': array([1.]), 'p_op_mean': array([1.03602585]), 'param_mean': array([[ 0.08368192, -0.23279183, -0.08884544]]), 'param_var': array([[ 0.23317874, -0.06872457, -0.40471129]]), 'gradient': array([[ 0.074383  , -1.12481505,  1.        ]]), 'p_self': 0.11197415167304785}}",3,1
Oslo,0,1,0,0,0,-1,1,"{'opponent_states': {}, 'own_states': {'p_op_mean0': -0.763136831239092, 'p_op_var0': -0.1979324771056322, 'p_self': 0.14712912875971268}}",3,0
Istanbul,0,0,1,1,1,1,-1,"{'opponent_states': {}, 'own_states': {'p_op_mean0': -0.763136831239092, 'p_op_var0': -0.1979324771056322, 'p_self': 0.8528708712402873}}",3,0
Brussels,2,1,0,0,0,-1,1,"{'opponent_states': {0: {'opponent_states': {}, 'own_states': {'p_op_mean0': -0.33018140088126746, 'p_op_var0': 0.41121317680723385}}, 1: {'opponent_states': {0: {'opponent_states': {}, 'own_states': {'p_op_mean0': 1.146700695352714, 'p_op_var0': 0.3471384760097934}}}, 'own_states': {'p_k': array([1.]), 'p_op_mean': array([0.5115875]), 'param_mean': array([[-0.30247024,  0.36289311, -0.09434867]]), 'param_var': array([[ 1.08663628, -0.05626326, -0.37326238]]), 'gradient': array([[ 0.03201359, -0.60590587,  1.        ]])}}}, 'own_states': {'p_k': array([0.53218962, 0.46781038]), 'p_op_mean': array([0.69266458, 0.11161406]), 'param_mean': array([[-0.05531198,  0.15843582,  0.46713706],        [ 0.00065523,  0.20788943,  0.46062683]]), 'param_var': array([[ 0.23621812, -0.03644681, -0.22701773],        [ 0.23954434, -0.05958705, -0.21040109]]), 'gradient': array([[ 0.17409355, -0.22551625,  1.        ],        [ 0.00197251,  0.34899532,  1.        ]]), 'p_self': 0.7251202377303503}}",3,2
Amsterdam,-1,1,0,0,0,-1,1,Random Bias 0.6 Head,3,-1
Edinburgh,0,1,0,1,1,-1,1,"{'opponent_states': {}, 'own_states': {'p_op_mean0': -0.763136831239092, 'p_op_var0': -0.1979324771056322, 'p_self': 0.14712912875971268}}",3,0
Prague,1,0,1,0,1,-1,1,"{'opponent_states': {0: {'opponent_states': {}, 'own_states': {'p_op_mean0': 0.360320263250805, 'p_op_var0': 0.44099929154314205}}}, 'own_states': {'p_k': array([1.]), 'p_op_mean': array([-0.26370159]), 'param_mean': array([[ 0.05065443, -0.14251192, -0.59413589]]), 'param_var': array([[ 0.23436268, -0.05626326, -0.37326238]]), 'gradient': array([[ 0.25013302, -0.33041778,  1.        ]]), 'p_self': 0.6508344826145434}}",3,1
Lisbon,2,1,0,1,1,-1,1,"{'opponent_states': {0: {'opponent_states': {}, 'own_states': {'p_op_mean0': 0.33042325473294676, 'p_op_var0': 0.41145576594982586}}, 1: {'opponent_states': {0: {'opponent_states': {}, 'own_states': {'p_op_mean0': -1.146700556317274, 'p_op_var0': 0.3471381863731186}}}, 'own_states': {'p_k': array([1.]), 'p_op_mean': array([-0.51158746]), 'param_mean': array([[-0.30247143,  0.36289311,  0.09434867]]), 'param_var': array([[ 1.08664021, -0.05626326, -0.37326238]]), 'gradient': array([[-0.03201356,  0.60590583,  1.        ]])}}}, 'own_states': {'p_k': array([0.52366692, 0.47633308]), 'p_op_mean': array([-0.6898493 , -0.11680868]), 'param_mean': array([[-0.05442909,  0.15598798, -0.46361492],        [ 0.00066717,  0.21145398, -0.46457958]]), 'param_var': array([[ 0.23627131, -0.03587348, -0.22535919],        [ 0.23954433, -0.06064035, -0.21201135]]), 'gradient': array([[-0.17461239,  0.22622307,  1.        ],        [-0.00196551, -0.3477535 ,  1.        ]]), 'p_self': 0.27665167824003695}}",3,2
Barcelona,0,1,0,1,1,-1,1,"{'opponent_states': {}, 'own_states': {'p_op_mean0': 0.7631368312390914, 'p_op_var0': -0.1979324771056322, 'p_self': 0.8528708712402868}}",3,0
